"id","lottery","z1","z2","p1","ce","female","semester","highincome"
5,14,15,4,0.75,9.775,1,1,0
5,18,-4,-7,0.5,-5.575,1,1,0
5,19,-4,-15,0.05,-11.975,1,1,0
5,26,-7,-20,0.25,-14.475,1,1,0
5,30,7,4,0.5,4.825,1,1,0
5,31,15,4,0.95,7.025,1,1,0
5,36,-7,-20,0.95,-11.875,1,1,0
5,40,15,4,0.5,7.025,1,1,0
5,41,-7,-20,0.75,-13.825,1,1,0
5,45,7,4,0.1,4.375,1,1,0
5,47,-4,-7,0.9,-5.425,1,1,0
5,48,-7,-20,0.05,-15.775,1,1,0
5,51,20,7,0.75,10.575,1,1,0
5,58,20,7,0.25,11.875,1,1,0
5,59,-20,-55,0.05,-45.375,1,1,0
5,64,-4,-7,0.1,-5.425,1,1,0
5,66,-7,-20,0.5,-15.125,1,1,0
5,67,7,4,0.9,4.975,1,1,0
5,68,20,7,0.95,15.775,1,1,0
5,72,-4,-15,0.5,-9.775,1,1,0
5,74,20,7,0.5,11.225,1,1,0
5,80,-4,-15,0.75,-9.775,1,1,0
7,2,15,4,0.05,7.025,0,1,0
7,3,55,20,0.05,33.125,0,1,0
7,5,20,7,0.05,9.925,0,1,0
7,6,15,4,0.25,9.225,0,1,0
7,8,-4,-15,0.95,-7.025,0,1,0
7,10,-4,-15,0.25,-8.675,0,1,0
7,14,15,4,0.75,11.975,0,1,0
7,18,-4,-7,0.5,-5.275,0,1,0
7,19,-4,-15,0.05,-11.975,0,1,0
7,26,-7,-20,0.25,-12.525,0,1,0
7,30,7,4,0.5,6.175,0,1,0
7,31,15,4,0.95,13.625,0,1,0
7,36,-7,-20,0.95,-9.925,0,1,0
7,40,15,4,0.5,9.775,0,1,0
7,41,-7,-20,0.75,-11.225,0,1,0
7,45,7,4,0.1,5.275,0,1,0
7,47,-4,-7,0.9,-4.975,0,1,0
7,48,-7,-20,0.05,-16.425,0,1,0
7,51,20,7,0.75,13.825,0,1,0
7,58,20,7,0.25,13.175,0,1,0
7,59,-20,-55,0.05,-47.125,0,1,0
7,64,-4,-7,0.1,-5.275,0,1,0
7,66,-7,-20,0.5,-11.875,0,1,0
7,67,7,4,0.9,5.875,0,1,0
7,68,20,7,0.95,18.375,0,1,0
7,72,-4,-15,0.5,-7.575,0,1,0
7,74,20,7,0.5,13.175,0,1,0
7,80,-4,-15,0.75,-7.025,0,1,0
8,2,15,4,0.05,5.375,1,2,0
8,3,55,20,0.05,26.125,1,2,0
8,5,20,7,0.05,9.925,1,2,0
8,6,15,4,0.25,7.025,1,2,0
8,8,-4,-15,0.95,-8.125,1,2,0
8,10,-4,-15,0.25,-10.325,1,2,0
8,14,15,4,0.75,10.325,1,2,0
8,18,-4,-7,0.5,-5.575,1,2,0
8,19,-4,-15,0.05,-10.875,1,2,0
8,26,-7,-20,0.25,-15.775,1,2,0
8,30,7,4,0.5,5.425,1,2,0
8,31,15,4,0.95,9.775,1,2,0
8,36,-7,-20,0.95,-9.925,1,2,0
8,40,15,4,0.5,10.325,1,2,0
8,41,-7,-20,0.75,-9.925,1,2,0
8,45,7,4,0.1,5.425,1,2,0
8,47,-4,-7,0.9,-4.975,1,2,0
8,48,-7,-20,0.05,-13.825,1,2,0
8,51,20,7,0.75,13.175,1,2,0
8,58,20,7,0.25,10.575,1,2,0
8,59,-20,-55,0.05,-43.625,1,2,0
8,64,-4,-7,0.1,-6.175,1,2,0
8,66,-7,-20,0.5,-13.175,1,2,0
8,67,7,4,0.9,5.125,1,2,0
8,68,20,7,0.95,15.125,1,2,0
8,72,-4,-15,0.5,-9.775,1,2,0
8,74,20,7,0.5,11.225,1,2,0
8,80,-4,-15,0.75,-9.775,1,2,0
9,2,15,4,0.05,8.125,0,2,0
9,3,55,20,0.05,33.125,0,2,0
9,5,20,7,0.05,13.825,0,2,0
9,6,15,4,0.25,8.125,0,2,0
9,8,-4,-15,0.95,-5.925,0,2,0
9,10,-4,-15,0.25,-10.325,0,2,0
9,14,15,4,0.75,9.225,0,2,0
9,18,-4,-7,0.5,-5.875,0,2,0
9,19,-4,-15,0.05,-12.525,0,2,0
9,26,-7,-20,0.25,-15.125,0,2,0
9,30,7,4,0.5,5.425,0,2,0
9,31,15,4,0.95,8.125,0,2,0
9,36,-7,-20,0.95,-13.825,0,2,0
9,40,15,4,0.5,8.675,0,2,0
9,41,-7,-20,0.75,-12.525,0,2,0
9,45,7,4,0.1,5.125,0,2,0
9,47,-4,-7,0.9,-5.575,0,2,0
9,48,-7,-20,0.05,-17.725,0,2,0
9,51,20,7,0.75,13.175,0,2,0
9,58,20,7,0.25,9.925,0,2,0
9,59,-20,-55,0.05,-45.375,0,2,0
9,64,-4,-7,0.1,-6.325,0,2,0
9,66,-7,-20,0.5,-15.125,0,2,0
9,67,7,4,0.9,5.275,0,2,0
9,68,20,7,0.95,15.775,0,2,0
9,72,-4,-15,0.5,-10.875,0,2,0
9,74,20,7,0.5,13.175,0,2,0
9,80,-4,-15,0.75,-11.975,0,2,0
10,2,15,4,0.05,7.575,1,6,1
10,3,55,20,0.05,29.625,1,6,1
10,5,20,7,0.05,10.575,1,6,1
10,6,15,4,0.25,8.675,1,6,1
10,8,-4,-15,0.95,-7.025,1,6,1
10,10,-4,-15,0.25,-10.325,1,6,1
10,14,15,4,0.75,9.775,1,6,1
10,18,-4,-7,0.5,-5.425,1,6,1
10,19,-4,-15,0.05,-9.225,1,6,1
10,26,-7,-20,0.25,-13.825,1,6,1
10,30,7,4,0.5,5.125,1,6,1
10,31,15,4,0.95,11.975,1,6,1
10,36,-7,-20,0.95,-11.875,1,6,1
10,40,15,4,0.5,8.675,1,6,1
10,41,-7,-20,0.75,-13.175,1,6,1
10,45,7,4,0.1,4.975,1,6,1
10,47,-4,-7,0.9,-4.975,1,6,1
10,48,-7,-20,0.05,-17.725,1,6,1
10,51,20,7,0.75,12.525,1,6,1
10,58,20,7,0.25,9.925,1,6,1
10,59,-20,-55,0.05,-50.625,1,6,1
10,64,-4,-7,0.1,-6.625,1,6,1
10,66,-7,-20,0.5,-15.125,1,6,1
10,67,7,4,0.9,6.025,1,6,1
10,68,20,7,0.95,15.125,1,6,1
10,72,-4,-15,0.5,-9.225,1,6,1
10,74,20,7,0.5,13.175,1,6,1
10,80,-4,-15,0.75,-9.775,1,6,1
11,2,15,4,0.05,4.275,0,2,0
11,3,55,20,0.05,20.875,0,2,0
11,5,20,7,0.05,9.925,0,2,0
11,6,15,4,0.25,10.875,0,2,0
11,8,-4,-15,0.95,-7.025,0,2,0
11,10,-4,-15,0.25,-11.975,0,2,0
11,14,15,4,0.75,4.275,0,2,0
11,18,-4,-7,0.5,-5.725,0,2,0
11,19,-4,-15,0.05,-9.775,0,2,0
11,26,-7,-20,0.25,-14.475,0,2,0
11,30,7,4,0.5,5.425,0,2,0
11,31,15,4,0.95,13.075,0,2,0
11,36,-7,-20,0.95,-13.825,0,2,0
11,40,15,4,0.5,9.225,0,2,0
11,41,-7,-20,0.75,-17.075,0,2,0
11,45,7,4,0.1,5.425,0,2,0
11,47,-4,-7,0.9,-5.575,0,2,0
11,48,-7,-20,0.05,-17.725,0,2,0
11,51,20,7,0.75,11.225,0,2,0
11,58,20,7,0.25,11.225,0,2,0
11,59,-20,-55,0.05,-45.375,0,2,0
11,64,-4,-7,0.1,-6.325,0,2,0
11,66,-7,-20,0.5,-13.825,0,2,0
11,67,7,4,0.9,6.325,0,2,0
11,68,20,7,0.95,16.425,0,2,0
11,72,-4,-15,0.5,-9.775,0,2,0
11,74,20,7,0.5,13.175,0,2,0
