"id","lottery","z1","z2","p1","ce","female","semester","highincome"
1,8,40,10,0.95,27.25,1,1,0
1,14,150,50,0.05,52.5,1,1,0
1,39,0,-150,0.1,-123.75,1,1,0
1,21,-10,-40,0.25,-25.75,1,1,0
1,1,20,10,0.1,15.75,1,1,0
1,26,-20,-50,0.25,-35.75,1,1,0
1,2,20,10,0.5,14.75,1,1,0
1,29,10,0,0.5,2.75,1,1,0
1,22,-10,-40,0.05,-30.25,1,1,0
1,4,40,10,0.05,15.25,1,1,0
1,12,50,20,0.75,37.25,1,1,0
1,20,-10,-40,0.5,-25.75,1,1,0
1,40,0,-40,0.25,-31,1,1,0
1,34,40,0,0.25,9,1,1,0
1,9,50,20,0.05,29.75,1,1,0
1,16,-10,-20,0.5,-15.25,1,1,0
1,5,40,10,0.25,21.25,1,1,0
1,27,-20,-50,0.05,-44.75,1,1,0
1,37,0,-40,0.05,-31,1,1,0
1,7,40,10,0.75,28.75,1,1,0
1,33,150,0,0.1,18.75,1,1,0
1,11,50,20,0.5,34.25,1,1,0
1,18,-10,-40,0.95,-18.25,1,1,0
1,30,20,0,0.5,9.5,1,1,0
1,31,40,0,0.05,9,1,1,0
1,32,50,0,0.95,33.75,1,1,0
1,13,50,20,0.95,43.25,1,1,0
1,24,-20,-50,0.75,-31.25,1,1,0
1,6,40,10,0.5,24.25,1,1,0
1,3,20,10,0.9,16.25,1,1,0
1,10,50,20,0.25,29.75,1,1,0
1,19,-10,-40,0.75,-22.75,1,1,0
1,28,-50,-150,0.05,-147.5,1,1,0
1,38,0,-50,0.95,-8.75,1,1,0
1,35,0,-10,0.5,-5.25,1,1,0
1,25,-20,-50,0.5,-35.75,1,1,0
1,36,0,-20,0.5,-14.5,1,1,0
1,15,-10,-20,0.9,-14.25,1,1,0
2,19,-10,-40,0.75,-25.75,1,1,0
2,5,40,10,0.25,21.25,1,1,0
2,15,-10,-20,0.9,-12.25,1,1,0
2,4,40,10,0.05,19.75,1,1,0
2,33,150,0,0.1,26.25,1,1,0
2,34,40,0,0.25,19,1,1,0
2,13,50,20,0.95,38.75,1,1,0
2,1,20,10,0.1,14.75,1,1,0
2,14,150,50,0.05,72.5,1,1,0
2,22,-10,-40,0.05,-30.25,1,1,0
2,23,-20,-50,0.95,-25.25,1,1,0
2,6,40,10,0.5,24.25,1,1,0
2,20,-10,-40,0.5,-25.75,1,1,0
2,10,50,20,0.25,29.75,1,1,0
2,37,0,-40,0.05,-21,1,1,0
2,26,-20,-50,0.25,-35.75,1,1,0
2,11,50,20,0.5,34.25,1,1,0
2,7,40,10,0.75,24.25,1,1,0
2,28,-50,-150,0.05,-127.5,1,1,0
2,24,-20,-50,0.75,-40.25,1,1,0
2,8,40,10,0.95,24.25,1,1,0
2,9,50,20,0.05,29.75,1,1,0
2,2,20,10,0.5,17.75,1,1,0
2,27,-20,-50,0.05,-35.75,1,1,0
2,30,20,0,0.5,14.5,1,1,0
2,3,20,10,0.9,17.25,1,1,0
2,12,50,20,0.75,38.75,1,1,0
2,25,-20,-50,0.5,-35.75,1,1,0
2,35,0,-10,0.5,-0.25,1,1,0
2,40,0,-40,0.25,-21,1,1,0
2,21,-10,-40,0.25,-25.75,1,1,0
2,16,-10,-20,0.5,-15.25,1,1,0
2,29,10,0,0.5,9.75,1,1,0
2,38,0,-50,0.95,-16.25,1,1,0
2,36,0,-20,0.5,-5.5,1,1,0
2,39,0,-150,0.1,-123.75,1,1,0
2,18,-10,-40,0.95,-25.75,1,1,0
2,32,50,0,0.95,33.75,1,1,0
2,17,-10,-20,0.1,-15.25,1,1,0
2,31,40,0,0.05,13,1,1,0
3,10,50,20,0.25,29.75,1,3,0
3,33,150,0,0.1,11.25,1,3,0
3,14,150,50,0.05,62.5,1,3,0
3,38,0,-50,0.95,-21.25,1,3,0
3,20,-10,-40,0.5,-28.75,1,3,0
3,28,-50,-150,0.05,-147.5,1,3,0
3,11,50,20,0.5,34.25,1,3,0
3,21,-10,-40,0.25,-34.75,1,3,0
3,27,-20,-50,0.05,-47.75,1,3,0
3,36,0,-20,0.5,-12.5,1,3,0
3,23,-20,-50,0.95,-26.75,1,3,0
3,35,0,-10,0.5,-5.75,1,3,0
3,24,-20,-50,0.75,-38.75,1,3,0
3,34,40,0,0.25,11,1,3,0
3,12,50,20,0.75,37.25,1,3,0
3,7,40,10,0.75,19.75,1,3,0
3,4,40,10,0.05,13.75,1,3,0
3,39,0,-150,0.1,-146.25,1,3,0
3,9,50,20,0.05,23.75,1,3,0
3,6,40,10,0.5,22.75,1,3,0
3,30,20,0,0.5,5.5,1,3,0
3,29,10,0,0.5,3.75,1,3,0
3,15,-10,-20,0.9,-13.75,1,3,0
3,19,-10,-40,0.75,-27.25,1,3,0
3,16,-10,-20,0.5,-14.75,1,3,0
3,1,20,10,0.1,11.75,1,3,0
3,37,0,-40,0.05,-37,1,3,0
3,17,-10,-20,0.1,-18.25,1,3,0
3,22,-10,-40,0.05,-37.75,1,3,0
3,5,40,10,0.25,15.25,1,3,0
3,31,40,0,0.05,5,1,3,0
3,2,20,10,0.5,15.25,1,3,0
3,13,50,20,0.95,41.75,1,3,0
3,3,20,10,0.9,17.25,1,3,0
3,32,50,0,0.95,23.75,1,3,0
3,8,40,10,0.95,31.75,1,3,0
3,40,0,-40,0.25,-33,1,3,0
3,25,-20,-50,0.5,-43.25,1,3,0
3,18,-10,-40,0.95,-19.75,1,3,0
4,16,-10,-20,0.5,-15.25,1,1,1
4,27,-20,-50,0.05,-37.25,1,1,1
4,37,0,-40,0.05,-39,1,1,1
4,39,0,-150,0.1,-146.25,1,1,1
4,7,40,10,0.75,10.75,1,1,1
4,3,20,10,0.9,12.75,1,1,1
4,20,-10,-40,0.5,-34.75,1,1,1
4,30,20,0,0.5,4.5,1,1,1
4,25,-20,-50,0.5,-49.25,1,1,1
4,15,-10,-20,0.9,-17.75,1,1,1
4,36,0,-20,0.5,-16.5,1,1,1
4,38,0,-50,0.95,-31.25,1,1,1
4,10,50,20,0.25,20.75,1,1,1
4,35,0,-10,0.5,-9.75,1,1,1
4,21,-10,-40,0.25,-39.25,1,1,1
4,40,0,-40,0.25,-35,1,1,1
4,14,150,50,0.05,52.5,1,1,1
4,31,40,0,0.05,1,1,1,1
4,29,10,0,0.5,0.25,1,1,1
4,2,20,10,0.5,15.25,1,1,1
4,5,40,10,0.25,18.25,1,1,1
4,22,-10,-40,0.05,-34.75,1,1,1
4,6,40,10,0.5,16.75,1,1,1
4,8,40,10,0.95,25.75,1,1,1
4,18,-10,-40,0.95,-18.25,1,1,1
4,26,-20,-50,0.25,-34.25,1,1,1
4,32,50,0,0.95,36.25,1,1,1
4,17,-10,-20,0.1,-12.25,1,1,1
4,13,50,20,0.95,37.25,1,1,1
4,19,-10,-40,0.75,-16.75,1,1,1
4,23,-20,-50,0.95,-49.25,1,1,1
4,28,-50,-150,0.05,-97.5,1,1,1
4,9,50,20,0.05,20.75,1,1,1
4,12,50,20,0.75,28.25,1,1,1
4,11,50,20,0.5,29.75,1,1,1
4,1,20,10,0.1,10.25,1,1,1
4,33,150,0,0.1,3.75,1,1,1
4,4,40,10,0.05,10.75,1,1,1
4,24,-20,-50,0.75,-46.25,1,1,1
5,36,0,-20,0.5,-9.5,1,5,0
5,27,-20,-50,0.05,-46.25,1,5,0
5,19,-10,-40,0.75,-22.75,1,5,0
5,40,0,-40,0.25,-33,1,5,0
5,13,50,20,0.95,46.25,1,5,0
5,23,-20,-50,0.95,-25.25,1,5,0
5,28,-50,-150,0.05,-137.5,1,5,0
5,24,-20,-50,0.75,-29.75,1,5,0
5,10,50,20,0.25,28.25,1,5,0
5,11,50,20,0.5,35.75,1,5,0
5,5,40,10,0.25,13.75,1,5,0
5,32,50,0,0.95,38.75,1,5,0
5,8,40,10,0.95,36.25,1,5,0
5,31,40,0,0.05,1,1,5,0
5,16,-10,-20,0.5,-15.25,1,5,0
5,30,20,0,0.5,7.5,1,5,0
5,12,50,20,0.75,38.75,1,5,0
5,37,0,-40,0.05,-33,1,5,0
5,35,0,-10,0.5,-6.25,1,5,0
5,9,50,20,0.05,20.75,1,5,0
5,20,-10,-40,0.5,-25.75,1,5,0
