"gid","sid","dg","order","self_x","self_y","other_x","other_y","choice_x","q","v","s_y","s_x","r_y","r_x","self_z","other_z","pos_reciproc","drop","bf_consciousness","bf_openness","bf_extraversion","bf_agreeableness","bf_neuroticism","pe_D1_stud_natsci","pe_D1_stud_law","pe_D1_stud_socsci","pe_D1_stud_med","cogabil","pe_age","pe_female","pe_monthinc"
10,72010050502,0,5,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,23,7,10,1,1,0,0,0,12,21,1,300
10,72010050603,0,7,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,23,8,5,3,0,0,1,0,4,24,0,800
10,72010050704,0,41,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,21,3,8,2,1,0,0,0,5,22,0,900
10,72010050705,0,32,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,20,4,10,5,1,0,0,0,6,20,0,250
10,72010050706,0,5,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,24,3,9,4,1,0,0,0,5,21,1,500
10,72010051907,0,16,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,22,2,10,-3,0,0,0,0,4,22,0,520
10,82010050501,0,52,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,20,11,5,6,1,0,0,0,6,25,1,1300
10,82010050502,0,42,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,17,2,9,1,0,0,1,0,9,21,0,1400
10,82010050603,0,43,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,17,10,12,-2,1,0,0,0,7,22,0,500
10,82010050704,0,31,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,21,9,9,0,1,0,0,0,8,22,0,900
10,82010050705,0,10,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,1,9,25,5,4,12,1,0,0,0,7,23,1,900
10,82010050706,0,6,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,3,20,5,12,3,1,0,0,0,3,22,0,300
10,82010051907,0,35,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,20,13,6,7,1,0,0,0,4,21,1,800
10,92010050501,0,43,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,25,3,11,9,1,0,0,0,11,20,1,200
10,92010050502,0,48,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,12,3,3,6,0,0,0,1,8,20,1,160
10,92010050603,0,46,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,22,13,6,10,0,1,0,0,3,22,1,500
10,92010050704,0,27,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,24,5,1,-2,0,0,1,0,6,26,0,500
10,92010050705,0,8,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,23,-1,6,7,0,0,0,1,10,38,0,1500
10,92010050706,0,36,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,20,2,12,-2,1,0,0,0,4,20,1,600
10,92010051907,0,19,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,0,21,13,12,12,1,0,0,0,6,22,1,600
10,102010050501,0,26,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,24,8,0,1,1,0,0,0,5,21,1,250
10,102010050502,0,35,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,2,27,8,7,2,1,0,0,0,7,19,0,1200
10,102010050603,0,13,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,25,-1,11,4,1,0,0,0,8,19,1,150
10,102010050704,0,7,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,4,25,6,8,2,1,0,0,0,11,22,0,700
10,102010050705,0,8,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,19,6,10,-1,1,0,0,0,8,21,0,250
10,102010050706,0,49,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,1,10,22,7,9,4,1,0,0,0,6,23,1,1200
10,102010051907,0,22,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,24,9,8,-3,1,0,0,0,4,19,0,680
10,112010050501,0,1,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,11,3,8,8,1,0,0,0,6,23,1,500
10,112010050502,0,44,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,24,10,10,-2,0,0,0,1,7,21,1,400
10,112010050603,0,18,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,22,9,4,1,0,0,1,0,3,21,0,2200
10,112010050704,0,45,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,22,6,6,2,1,0,0,0,6,20,1,500
10,112010050706,0,50,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,28,11,10,0,0,0,1,0,8,37,1,600
10,112010051907,0,40,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,19,2,5,-4,1,0,0,0,6,23,0,550
10,122010050501,0,41,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,25,9,0,10,0,0,0,0,9,24,1,1200
10,122010050502,0,35,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,20,3,9,3,1,0,0,0,10,21,0,600
10,122010050603,0,18,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,1,7,21,0,5,8,0,0,0,0,5,21,1,600
10,122010050704,0,45,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,23,11,7,4,0,0,0,0,3,27,0,1000
10,122010050705,0,45,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,22,11,-2,-3,0,1,0,0,8,21,1,400
10,122010050706,0,38,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,16,6,7,2,0,1,0,0,3,20,0,1000
